game_iter,player_id,risk_thres,likely_thres,exactly_thres,bluff_prob,bluff_thres,trustability,win_bool
24,3,0.35,0.8,0.3,0.25,0.6,1.25,0
24,4,0.35,0.8,0.3,0.25,0.6,1.75,0
25,1,0.35,0.8,0.3,0.25,0.6,0,0
25,2,0.35,0.8,0.3,0.25,0.6,1,0
25,3,0.35,0.8,0.3,0.25,0.6,1.25,1
25,4,0.35,0.8,0.3,0.25,0.6,1.75,0
26,1,0.35,0.8,0.3,0.25,0.6,0,0
26,2,0.35,0.8,0.3,0.25,0.6,1,0
26,3,0.35,0.8,0.3,0.25,0.6,1.25,1
26,4,0.35,0.8,0.3,0.25,0.6,1.75,0
27,1,0.35,0.8,0.3,0.25,0.6,0,1
27,2,0.35,0.8,0.3,0.25,0.6,1,0
27,3,0.35,0.8,0.3,0.25,0.6,1.25,0
27,4,0.35,0.8,0.3,0.25,0.6,1.75,0
28,1,0.35,0.8,0.3,0.25,0.6,0,1
28,2,0.35,0.8,0.3,0.25,0.6,1,0
28,3,0.35,0.8,0.3,0.25,0.6,1.25,0
28,4,0.35,0.8,0.3,0.25,0.6,1.75,0
29,1,0.35,0.8,0.3,0.25,0.6,0,0
29,2,0.35,0.8,0.3,0.25,0.6,1,0
29,3,0.35,0.8,0.3,0.25,0.6,1.25,0
29,4,0.35,0.8,0.3,0.25,0.6,1.75,1
30,1,0.35,0.8,0.3,0.25,0.6,0,0
30,2,0.35,0.8,0.3,0.25,0.6,1,0
30,3,0.35,0.8,0.3,0.25,0.6,1.25,0
30,4,0.35,0.8,0.3,0.25,0.6,1.75,1
