player_id,risk_thres,likely_thres,exactly_thres,bluff_prob,bluff_thres,trustability,win_bool
1,0.37,0.8,0.4,0.2,0.5,1,0
2,-1,-1,-1,-1,-1,-1,1
3,0.37,0.8,0.4,0.2,0.5,0,0
4,0.37,0.8,0.4,0.2,0.5,2,0
