call_bullshit_threshold,win_bool
0.816,1
0.889,0
0.25,0
0.275,1
0.158,0
0.26,0
0.284,0
0.25,0
0.403,1
0.006,0
0.498,0
0.39,1
0.812,0
0.652,0
0.689,1
0.211,0
0.483,0
0.144,1
0.578,0
0.449,0
0.367,1
0.416,0
0.888,1
0.038,0
0.5,0
0.154,1
0.308,0
0.91,0
0.852,1
0.669,0
